gov_region;preconditioned;nu;n_samples;alpha_mean;alpha_std;n_valid;mu_mean;mu_std
Am;preconditioned;0,45;7;-19,66623566;1,801127967;6;257,0497315;116,1769982
Am;preconditioned;0,49;7;-14,16400654;1,602553552;7;193,3378573;100,3331345
Am;unconditioned;0,45;7;-14,73823122;2,548020877;6;386,9658579;170,9970899
Am;unconditioned;0,49;7;-10,09931058;2,263779925;7;293,0568384;133,2312183
BG;preconditioned;0,45;28;-18,94830956;4,022090729;19;252,1460859;99,1452284
BG;preconditioned;0,49;28;-15,04778681;4,799036392;26;169,6653712;66,84735774
BG;unconditioned;0,45;28;-15,90115875;4,506815443;21;338,670341;135,901093
BG;unconditioned;0,49;28;-11,48998456;4,137662616;26;246,2051254;97,76649393
BS;preconditioned;0,45;20;-20,4129503;6,468779092;15;233,1224979;112,4485491
BS;preconditioned;0,49;20;-19,59379732;8,214625136;17;118,0578761;43,22347602
BS;unconditioned;0,45;20;-16,81701891;6,109663555;16;336,442434;165,747428
BS;unconditioned;0,49;20;-13,60140203;5,993180939;16;225,0757385;106,8150911
C;preconditioned;0,45;25;-19,27409673;4,419799775;12;281,7518902;114,1416285
C;preconditioned;0,49;25;-16,72199854;5,048676463;18;175,2132015;73,39327337
C;unconditioned;0,45;25;-16,16124618;2,915145548;13;392,2370925;153,6087263
C;unconditioned;0,49;25;-12,16013282;2,786476309;17;285,9737943;110,8232131
CB;preconditioned;0,45;13;-23,22191238;5,96022217;7;177,4922384;81,38026768
CB;preconditioned;0,49;13;-18,79482199;3,756541797;8;115,3625404;48,54354483
CB;unconditioned;0,45;13;-19,49048488;4,033996999;7;255,3811232;100,9880411
CB;unconditioned;0,49;13;-14,08080978;3,395824986;8;196,5542184;88,3826155
CC;preconditioned;0,45;25;-14,93641813;12,59785674;17;61,66031083;24,72634437
CC;preconditioned;0,49;25;-13,7206396;13,71403107;21;37,63876921;18,26000734
CC;unconditioned;0,45;25;-12,82069836;7,875245554;18;95,43490017;34,55255095
CC;unconditioned;0,49;25;-9,105361777;6,901885714;20;67,8160812;24,40322636
CR;preconditioned;0,45;38;-19,70393753;4,728439111;23;157,0888632;75,54884398
CR;preconditioned;0,49;38;-19,07789313;7,600806118;28;87,57646783;47,53157757
CR;unconditioned;0,45;38;-16,93220181;6,598761658;25;218,7514142;115,7590565
CR;unconditioned;0,49;38;-13,55234427;6,940688415;28;146,5357609;77,73973536
Hi;preconditioned;0,45;4;-17,36572538;2,754307528;4;184,2088107;81,37865484
Hi;preconditioned;0,49;4;-13,08878279;3,146315166;4;129,9607977;47,58787368
Hi;unconditioned;0,45;4;-13,24530956;1,579040157;4;292,5778712;147,8588646
Hi;unconditioned;0,49;4;-9,23437965;1,33416039;4;218,7359653;112,2016214
Th;preconditioned;0,45;22;-18,68414503;4,989949283;18;215,6963735;74,6122944
Th;preconditioned;0,49;22;-15,15002338;5,962647724;21;137,6724163;37,75999223
Th;unconditioned;0,45;22;-15,10883745;4,970641338;18;314,9196613;110,4748555
Th;unconditioned;0,49;22;-10,88614803;4,193367468;21;227,6858256;74,31558344
;;;;-15,63884837;5,018671214;15,16666667;208,9922818;89,57237642
